Labels "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-meanFreq()"
3 0.273428719636364 -0.017856067384956 -0.106492632429097 0.707814353343108 -0.0260590480328739 0.0480937904190616 0.0701731261988856 0.0144664329060411 -0.000526818872875366 -0.0248490682828446 -0.0743565308442815 0.0866875497119062 -0.0991554609633431 -0.0401923943695015 -0.0521178264170088 -0.563140802770059 -0.563140802770059 -0.650182434328446 -0.643150121648094 -0.784056656246334 -0.625733289873607 -0.501779938505279 -0.699656828592375 -0.192817340495308 0.0389282523284457 0.00447261449052786 -0.645893496630499 -0.582949919157742 -0.780101644193548 -0.0476941200470968 -0.236874240885924 -0.193657539305073 -0.642097719778592 -0.775144985073314 -0.670734708996481 -0.102568067670674 -0.167675025582991 -0.0321862688221114 -0.579076453758064 0.0770665587562757 -0.604752108072727 0.11231984174566 -0.716822144279179 -0.0846075231245126 -0.810085498651026 0.0599628733252199
4 0.274183111498423 -0.0148081545344921 -0.107521430810726 0.706593043123028 0.112591195496986 0.164130896618297 0.0788637845151419 0.00351340949514196 -0.00737375142832808 -0.0289417906907571 -0.0787229907785489 0.0957174866009464 -0.107859315713249 -0.0400427574662461 -0.0578089304000631 -0.56158213510694 -0.56158213510694 -0.656116311856877 -0.656291093847319 -0.819191368044164 -0.628806379100946 -0.52583456615142 -0.755235428895899 -0.184518571319811 0.0847707537883281 -0.0164096855119621 -0.652023078038801 -0.601696223759495 -0.825154871135647 -0.000543991796466877 -0.180584111376656 -0.110565549338486 -0.641881977553943 -0.831527531009464 -0.689308946422713 -0.118518212447287 -0.375332544565931 0.0241889403249211 -0.602098037677603 0.0963636689322397 -0.63501900541041 0.160479882559811 -0.745650754608833 -0.129301517256877 -0.838833209652997 0.159075727514984
5 0.279177960301325 -0.0154833455336192 -0.105661736816887 0.698153719072848 0.112313109736755 0.0921607197449904 0.0841019899622517 0.0017656830384106 -0.0029537113427351 -0.0294516873643046 -0.0774316445596026 0.0866267116745033 -0.103522877147351 -0.0490624519374172 -0.0506258160122517 -0.460866415568709 -0.460866415568709 -0.589313870006622 -0.602770284825828 -0.707383517582782 -0.55123770513245 -0.440232431795033 -0.696171811490066 -0.226370689942053 0.0748636861897351 0.0062663175707947 -0.604769869438742 -0.550991969857417 -0.768762357980132 -0.10292084499106 -0.27429092242043 -0.163706246351656 -0.632239300829801 -0.71706218781457 -0.537329127293278 -0.0381646986649007 -0.0720666007195695 0.0744028987918874 -0.528503022745033 0.0781455594845364 -0.573176177044172 0.131619298935099 -0.677355755703311 0.062219113935298 -0.748829309536424 0.0307564556565894
6 0.272376614181538 -0.0175697042641846 -0.11599454136 0.688702063569231 0.0162055455953846 0.0475199990906462 0.0813833604034769 0.000479281129661539 -0.00225896302076923 -0.0433611785374462 -0.0706129097498462 0.0973130293888923 -0.0829159966093231 -0.0454921005615385 -0.0533610323667692 -0.464770006998123 -0.464770006998123 -0.551413652396923 -0.549494852037046 -0.621936158532308 -0.506174926221538 -0.392041410138769 -0.683725945015385 -0.191537066813538 0.0590114878605846 0.113046089288708 -0.549394273848923 -0.503558973703692 -0.720867157741538 -0.0956140259974462 -0.305422668448923 -0.1006823905788 -0.537201442069846 -0.621188724858462 -0.507604207506462 0.0289087194733538 -0.0427900206246154 0.101044783556 -0.473974924380431 0.102346682227846 -0.494882316238462 0.0831165453227692 -0.579130051151385 0.104193397607938 -0.651886909221538 0.081817622852
7 0.270211697814935 -0.0187904887668182 -0.112492375388312 0.681289120844156 -0.0420221452496753 0.0342160711928604 0.0831829573168831 0.00760909767418831 -0.00791725696048701 -0.0518716929407792 -0.0646077113078896 0.0977671721406169 -0.0942037376182662 -0.0414401406082792 -0.0610307928148701 -0.511312036747403 -0.511312036747403 -0.622815767680292 -0.581899897967532 -0.713191348337662 -0.593011288564935 -0.563547785174026 -0.531005941495552 -0.311790512382468 -0.0300713296399351 0.0146620852844481 -0.637521940243831 -0.641687333850227 -0.642515716574286 -0.11978430017462 -0.239501714015909 -0.220260861049058 -0.643767578493507 -0.630419275006169 -0.655083354905844 -0.134491772785779 -0.103884514547565 -0.0863412384825 -0.518323878824675 -0.0106873745212792 -0.553360009658182 0.108695730522532 -0.628877272791136 -0.0352276334005552 -0.668879188156396 0.0631920436939935
8 0.270759063295374 -0.0181894974688612 -0.106809623683986 0.647498175409253 0.0303211113118861 0.0836542406807936 0.084215745375516 0.000860301581786477 -0.0196719912994306 0.00359053897160142 -0.091077509832669 0.0640867611561922 -0.104969855200356 -0.0400922240331673 -0.0582887148366548 -0.468522592843416 -0.468522592843416 -0.534248616612028 -0.476214943826192 -0.673625525658363 -0.581831414648399 -0.374944236206406 -0.550979388719929 -0.216022261686477 0.0263297524124555 0.0913951982033452 -0.59163500910605 -0.495906215569395 -0.644285802406762 0.0212336768810676 -0.169061574411388 -0.0826086104950178 -0.601382421248399 -0.575938482711388 -0.525562919047438 -0.117102793715658 -0.153879695796192 -0.0430258806635231 -0.512106792856939 0.146541439681957 -0.529244911130605 0.271528870278648 -0.609984289180071 -0.0232241525951918 -0.70215621546726 0.223748693337011
9 0.270313841621528 -0.0209466555412396 -0.101233826213889 0.670845545555556 -0.0467446999509028 0.104353653032743 0.0840171430291667 0.00678485848399306 -0.00102998088194444 -0.0701318154561458 -0.0729884312991667 0.109092913237986 -0.0892254930640278 -0.0397344421815972 -0.053402884281875 -0.505183470509188 -0.505183470509188 -0.621608245092361 -0.550201866572569 -0.7629795809375 -0.579258404408681 -0.610267804090278 -0.592119122804271 -0.291349229752569 -0.0879003298041667 -0.0304334227664236 -0.621377141312847 -0.699766614569444 -0.702931927996528 -0.219176266215278 -0.296107744084757 -0.290292303180208 -0.639863219559028 -0.683924287600694 -0.612680463163889 -0.205909254584222 -0.240880440259861 -0.196153280691528 -0.553186448295139 -0.00358269125034722 -0.609193721940625 0.0983598303289236 -0.700863097986111 -0.108828634535764 -0.786473954201389 0.0927763736788194
10 0.27684847392517 -0.017835790552415 -0.111301532185714 0.642905730306122 -0.0740248544557823 0.0552047227876769 0.0798108613061224 0.0129143257457823 -0.0113556967940476 -0.0185023695936054 -0.0846403674590918 0.0910265011879252 -0.108150829882313 -0.0424219983671769 -0.0555521277515646 -0.502500207000204 -0.502500207000204 -0.57776193128833 -0.521819802352381 -0.734465805340136 -0.532289464513605 -0.494651474235034 -0.655062273211565 -0.156150832113776 0.0948129948809524 0.150687015615519 -0.547243039827891 -0.555104553563503 -0.721689700769728 -0.0313012983494898 -0.148940675963605 0.0112385060119048 -0.620379208870442 -0.64835059542517 -0.567456661721769 -0.0663150945743537 -0.0881515905938775 -0.0500743540119048 -0.518734046961905 0.173253569411224 -0.515140810846939 0.163072697936429 -0.661496552826531 0.0120855942278469 -0.767780095068027 0.153580253720748
11 0.27658531139557 -0.0191272531933228 -0.108941761642405 0.730526184936709 0.0527387028613924 0.140209861246835 0.0830134540658228 0.0078044254343038 -0.00657424975259494 -0.0547328440272468 -0.0582275770813291 0.087284109682356 -0.0805473309873418 -0.0493914065474684 -0.0480140167267405 -0.542825032813608 -0.542825032813608 -0.679819504547468 -0.628367851066456 -0.826829028481013 -0.619524028324684 -0.531455265662532 -0.750026145791139 -0.224360420717722 0.0318551463759494 0.0502783009075316 -0.676672987166456 -0.632374688606013 -0.825559590221519 -0.0874254925382278 -0.242572597206013 -0.0992296316156962 -0.709949332117089 -0.776852868955696 -0.708842979272152 -0.111874925112848 -0.181778028186076 -0.0810951668035443 -0.611528074359177 0.12725035020425 -0.656133473274684 0.158363551858133 -0.757585939588608 -0.10978179348269 -0.864827011392405 0.11789211326962
12 0.27360872421875 -0.018337204411489 -0.106649116775 0.69922245131875 0.029976775735 0.0330295544910625 0.070430311315625 0.0053115377979375 0.0003081123684 -0.0628663472537188 -0.0592027333975 0.0960742146838125 -0.0731134377315625 -0.043678823491875 -0.0574585039485312 -0.559586545675313 -0.559586545675313 -0.6300504918575 -0.63166805889875 -0.77729447821875 -0.578920210879375 -0.523287078731563 -0.7266403145 -0.183738216351156 0.0444598424159375 0.0689109866546875 -0.599109317756219 -0.591296422972219 -0.7754265825625 -0.046619864264875 -0.204694170128437 -0.097564019993875 -0.661246826087188 -0.74479814778125 -0.657369914584375 -0.084349829508125 -0.107309871566031 -0.064849391596875 -0.55928367746625 0.0755926577467031 -0.564239194378438 0.126323612300937 -0.717311676745625 -0.0455357170932187 -0.78990285099375 0.0705873609285625
13 0.275895876198777 -0.0176504796070948 -0.109135285550765 0.709996516908257 -0.0420858101162079 0.0443010536786239 0.0794393034550306 0.00387961953328135 -0.0123485923641621 -0.0562470618980061 -0.0616613787494801 0.098866059686422 -0.0881182379434251 -0.0440836605146789 -0.0582718748712538 -0.539871637249541 -0.539871637249541 -0.625466938809174 -0.581215403184709 -0.712745036012232 -0.638817912651682 -0.493467193137125 -0.629736258731804 -0.222056646711315 -0.0348311463927523 0.0487260271941896 -0.66008217407156 -0.603340489937615 -0.710831730361468 -0.0241961823456881 -0.238328546685321 -0.120605488176024 -0.65864242140581 -0.647152817899388 -0.620471226529052 -0.112645469406422 -0.0806130190608563 -0.00505036969339144 -0.589928108599083 0.0849475684648318 -0.607295296423853 0.182861249947095 -0.652225306544343 0.0625891805875841 -0.712054366504281 0.157417463421743
14 0.270184596009288 -0.0162548178510526 -0.100985935692074 0.672081224882353 -0.111701388781115 -0.161179728291022 0.0741757467665015 0.00443682723817957 -0.00253044692473994 0.000253671358297214 -0.0954921154823529 0.0606712446996904 -0.107556127062003 -0.0433200489340217 -0.0450693836894427 -0.453262620331889 -0.453262620331889 -0.608973420309907 -0.416459776709257 -0.700520939854799 -0.619513271851703 -0.455237617000929 -0.440650672343653 -0.319171141631269 -0.15308350824613 -0.107844299474303 -0.654385009392879 -0.598699531399381 -0.618712162187307 -0.148657336754489 -0.305355379229102 -0.239200679844272 -0.699166400749226 -0.50463317018839 -0.42391821438452 -0.241341060754489 -0.345434763249536 -0.212818474897214 -0.490874179820433 -0.0600681274123529 -0.596896308848452 0.137239545472136 -0.543030528985449 -0.138544755393189 -0.717590101802972 0.0907579516695975
15 0.27821340725 -0.016464484771311 -0.112563587594512 0.688872511512195 0.102660491875 0.0372897701757012 0.0776897411304878 0.00489392052706402 -0.00440993190077744 -0.0281278780610671 -0.075878845519878 0.0906658516 -0.0960910108539634 -0.0441270690182012 -0.0555645456881098 -0.527285352000488 -0.527285352000488 -0.654799694757531 -0.617721779796037 -0.805282669512195 -0.583772317445122 -0.507735205778384 -0.741745724698171 -0.218637119967988 0.0505085375937378 0.0424519595017988 -0.643469519361585 -0.609408057377744 -0.805543465588415 -0.0490273566650701 -0.197408729697561 -0.0737834470521341 -0.664354428856402 -0.760711411006098 -0.711194539920732 -0.143256673841646 -0.222137469043902 -0.0579760577340244 -0.562948391223628 0.0614279187379573 -0.614817605125915 0.1584042182 -0.732394493841463 -0.149680864646374 -0.83680189402439 0.0955564233589329
16 0.277887440374317 -0.0158567888309016 -0.107263924445355 0.700906130308743 -0.0605235993797814 0.0402075536234973 0.0775488885374317 0.00884018328270219 -0.00143730005564208 -0.0122341446725137 -0.0724444803980874 0.0730144651530055 -0.107361614801257 -0.0416615668939617 -0.0539470410873497 -0.616131116889044 -0.616131116889044 -0.725246870486339 -0.718168775628415 -0.860446372459016 -0.700885147341803 -0.671572147098798 -0.660989948160437 -0.238570460241803 -0.0276434719766667 0.0278234635724863 -0.744662041612022 -0.748627001551913 -0.752302172079235 -0.0318889109278689 -0.194511969031749 -0.170592442202459 -0.789780147036612 -0.815962130027322 -0.756286641721311 -0.137899091231284 -0.158018408842896 -0.0538946293731967 -0.666962508246721 0.0558668214710383 -0.713167613706148 0.221683632275519 -0.81712881920765 -0.0501221341519126 -0.87277228273224 0.153211239562049
17 0.274029548065217 -0.0175416045074728 -0.109199853130082 0.69893741138587 -0.013734698125 -0.0177042428953804 0.0814060565059783 0.00848949673339674 0.00270288011005435 -0.0146686177049565 -0.082710926198038 0.077025064375462 -0.107854170946467 -0.039171944702962 -0.0508496510874185 -0.568367244093859 -0.568367244093859 -0.696465197235054 -0.676185123284103 -0.810438232853261 -0.651780423718288 -0.601741376260245 -0.718947424896739 -0.226292383353533 0.00529992922366848 0.00755635803706522 -0.716681622653533 -0.694754837788043 -0.802528785896739 -0.0799059758048913 -0.161634762970163 -0.162384817735924 -0.728710411180707 -0.774745258994565 -0.726857840652174 -0.0811027581206794 -0.106778297950136 -0.0322664579146196 -0.646189154826902 0.035532440850462 -0.697575558993207 0.216394127864783 -0.769498551467391 0.00488337138671196 -0.829124468315217 0.232792536134511
18 0.276324152142857 -0.0172831546595266 -0.108112251068681 0.716863248351648 -0.01578199625 0.0899901746593407 0.077480921531044 0.0128850449171841 0.000848545124184616 -0.0373993798891484 -0.0678200104982143 0.0908402866868132 -0.0944029581558242 -0.044169186546978 -0.0568482569002198 -0.658370952115385 -0.658370952115385 -0.753904676895604 -0.714735668626374 -0.859899942335165 -0.714227764615385 -0.663659666593407 -0.761229192087912 -0.210288060037014 0.0142017941035714 0.0023794571910467 -0.750020077252747 -0.744113444532967 -0.833032083021978 -0.0691387922027473 -0.211800163516401 -0.123235904056044 -0.787757637521978 -0.816385880247253 -0.755926770686813 -0.11359630596717 -0.245477245070522 -0.0890927881274725 -0.697732862178571 0.0911071722096154 -0.742323821887363 0.224596545546272 -0.816286626730769 -0.0573696679480769 -0.88466302260989 0.193231486725357
19 0.269723487105556 -0.0182031515710306 -0.118277180099383 0.475323016 0.0964052626666667 0.233011401195083 0.0774171147766389 0.0115812421960876 -0.00186198850195833 -0.0385723953346511 -0.0681420603177778 0.0883609591559167 -0.0895939425055556 -0.0383208736670278 -0.0569649444286944 -0.531507362111361 -0.531507362111361 -0.5762252472125 -0.548919668132222 -0.683436541824444 -0.587050355097528 -0.521888076609778 -0.647026298284028 -0.212433282953944 0.0703873634217222 0.160383893888278 -0.593157169174611 -0.596694943936944 -0.680924493180556 0.00263882956916667 -0.160787596137611 0.00225579910068611 -0.553089575942778 -0.641337299817778 -0.602625307818389 -0.0321842609068333 -0.19629760694 -0.0415013769106389 -0.556404444967972 0.115775170635767 -0.576064647812278 0.232074775101389 -0.636287999799167 -0.0199336248458333 -0.719519008752778 0.128629739389444
20 0.268425757926554 -0.0175912993773164 -0.108029145824294 0.628040637177966 -0.0373059475847458 0.10723075947935 0.079818125480791 0.00220928707107345 -0.00450611895602542 -0.0242488811785028 -0.0789448418069209 0.0856280628860452 -0.094982179135 -0.0414356124141243 -0.0543001277610169 -0.517257429345412 -0.517257429345412 -0.619698756735028 -0.516861235888701 -0.684048497355932 -0.612641113666949 -0.426398722000395 -0.665006945724294 -0.228177936580508 -0.0114411446707345 0.0779615448683983 -0.652264226931438 -0.557791286001412 -0.732835648957627 -0.0946565249276271 -0.295851375876469 -0.173772101164407 -0.626445370827119 -0.591039733449633 -0.518444509491525 -0.152974668730028 -0.197281081362486 -0.138316973455706 -0.560278889421186 0.0604926209205932 -0.584571446817062 0.0872234701100565 -0.606970915061638 -0.0676712910494915 -0.692638075749774 0.0504291443716384
21 0.277466525522059 -0.0176664578561765 -0.10877848058848 0.645775957808824 -0.0750963071446078 0.0321851774362745 0.0822207874776961 0.00350107553584853 -0.010659072671299 -0.0276346639303578 -0.0784719736838971 0.0861212668362745 -0.100558317889216 -0.0408236141863333 -0.0533861046416422 -0.620309259553676 -0.620309259553676 -0.703461275879657 -0.693779224517157 -0.807817403137255 -0.693486097144118 -0.59377821414902 -0.707713799021814 -0.230976168156039 0.0412761403403333 0.0495520452825172 -0.71641413145049 -0.678615118728922 -0.767351986555392 0.0168697571497059 -0.161814485722304 -0.112817222676985 -0.752040828651961 -0.759325714811275 -0.709471420465686 -0.089010657789951 -0.18645796643924 -0.0228851873218137 -0.658664719514706 0.0846512609471814 -0.679742584809363 0.244321861877647 -0.776473060171569 -0.00571922625735294 -0.826275026053922 0.205643655933971
